GROUP,STOCK CODE,DESCRIPTION,DESCRIPTION2,SUPP PART NO,ORDER NO,OUR REF,SUPP REF,SUPP NAME,DEPOT,DEL DATE,ORDER QTY,TO DELIV,RECVD,INVCD,QTY CST VAL,TO DELIV CST VAL,RECVD CST VAL,INVCD CST VAL,EXCH RATE,FOREIGN CURR
BRA,BC002FT,BC002 41X41 WINDOW BRACKET HDG,EA,BC002,7384,KI041,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,3600,3600,0,0,1305.00,1305.00,0.00,0.00,
BRA,BC002FT,BC002 41X41 WINDOW BRACKET HDG,EA,BC002,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,8150,8150,0,0,2922.59,2922.59,0.00,0.00,
BRA,BC002FT,BC002 41X41 WINDOW BRACKET HDG,EA,BC002,7451,KI049,KAR002,KARNA INTERNATIONAL,WB,28/08/2025,,3600,3600,0,0,1276.56,1276.56,0.00,0.00,
BRA,BC002FT,BC002 41X41 WINDOW BRACKET HDG,EA,BC002,7461,KI054,KAR002,KARNA INTERNATIONAL,WB,,,500,500,0,0,177.70,177.70,0.00,0.00,
BRA,BC002FT,BC002 41X41 WINDOW BRACKET HDG,EA,BC002,7461,KI054,KAR002,KARNA INTERNATIONAL,WB,,,7200,7200,0,0,2558.88,2558.88,0.00,0.00,
BRA,BC002FT,BC002 41X41 WINDOW BRACKET HDG,EA,BC002,7475,KI059,KAR002,KARNA INTERNATIONAL,WB,,,7600,7600,0,0,2747.40,2747.40,0.00,0.00,
BRA,BC003,BC003 41X41 U BOLT BEAM CLAMP,HDG EA,BC003,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,8200,8200,0,0,3179.14,3179.14,0.00,0.00,
BRA,BC003,BC003 41X41 U BOLT BEAM CLAMP,HDG EA,BC003,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,3400,3400,0,0,1318.18,1318.18,0.00,0.00,
BRA,BC003,BC003 41X41 U BOLT BEAM CLAMP,HDG EA,BC003,7381,KI042,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,1800,1800,0,0,749.16,749.16,0.00,0.00,
BRA,BC003,BC003 41X41 U BOLT BEAM CLAMP,HDG EA,BC003,7436,KI038,KAR002,KARNA INTERNATIONAL,WA,08/08/2025,,1000,1000,0,0,400.60,400.60,0.00,0.00,
BRA,BC003,BC003 41X41 U BOLT BEAM CLAMP,HDG EA,BC003,7436,KI038,KAR002,KARNA INTERNATIONAL,WA,08/08/2025,,2600,2600,0,0,1030.90,1030.90,0.00,0.00,
BRA,BC003 (HDG),BC003 41X41 U BOLT BEAM CLAMP,HDG EA,BC003,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,1440,1440,0,0,614.16,614.16,0.00,0.00,
BRA,BC004,BC004  Z BEAM CLAMP HDG EA,,BC004,6801,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,400,400,0,0,76.64,76.64,0.00,0.00,
BRA,BC005,BC005  LARGE C CLAMP HDG EA,,BC005,6801,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,350,350,0,0,164.96,164.96,0.00,0.00,
BRA,BC005,BC005  LARGE C CLAMP HDG EA,EA,BC005,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,800,800,0,0,373.28,373.28,0.00,0.00,
BRA,BC005,BC005  LARGE C CLAMP HDG EA,EA,BC005,7376,LAUREN,KAR002,KARNA INTERNATIONAL,GL,,,800,800,0,0,373.20,373.20,0.00,0.00,
BRA,BC005,BC005  LARGE C CLAMP HDG EA,EA,BC005,7384,KI041,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,1800,1800,0,0,896.40,896.40,0.00,0.00,
BRA,BC005,BC005  LARGE C CLAMP HDG EA,EA,BC005,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,200,200,0,0,102.00,102.00,0.00,0.00,
BRA,BC005,BC005  LARGE C CLAMP HDG EA,EA,BC005,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,650,650,0,0,319.61,319.61,0.00,0.00,
BRA,BC006,BC006  SMALL C CLAMP HDG EA,EA,BC006,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,200,200,0,0,40.38,40.38,0.00,0.00,
BRA,BC010/8,G CLAMP M8,,,5956,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,7500,7500,0,0,2517.00,2517.00,0.00,0.00,
BRA,BC010/8,G CLAMP M8,,,6400,WARRINGTON STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,1000,1000,0,0,346.00,346.00,0.00,0.00,
BRA,BC010/8,G CLAMP M8,EA,,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,1200,1200,0,0,394.56,394.56,0.00,0.00,
BRA,BC010/8,G CLAMP M8,EA,,7277,KI037,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,2500,2500,0,0,883.75,883.75,0.00,0.00,
BRA,FB100/06,40x40 M6 HOLE SQ PLATE WASHER(,WASHER(100)HDG,FB100/06,6428,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,411,411,0,0,2013.90,2013.90,0.00,0.00,
BRA,FB100/10,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,3000,3000,0,0,14112.00,14112.00,0.00,0.00,
BRA,FB100/10,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,800,800,0,0,3763.20,3763.20,0.00,0.00,
BRA,FB100/10,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7376,LAUREN,KAR002,KARNA INTERNATIONAL,GL,,,1500,1500,0,0,7056.00,7056.00,0.00,0.00,
BRA,FB100/10,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7381,KI042,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,1440,1440,0,0,7272.00,7272.00,0.00,0.00,
BRA,FB100/10,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7383,KI045,KAR002,KARNA INTERNATIONAL,WB,25/08/2025,,1440,1440,0,0,7128.00,7128.00,0.00,0.00,
BRA,FB100/10,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7384,KI041,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,1008,1008,0,0,5060.16,5060.16,0.00,0.00,
BRA,FB100/10,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7436,KI038,KAR002,KARNA INTERNATIONAL,WA,08/08/2025,,600,600,0,0,3006.00,3006.00,0.00,0.00,
BRA,FB100/10,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7451,KI049,KAR002,KARNA INTERNATIONAL,WB,28/08/2025,,144,144,0,0,707.04,707.04,0.00,0.00,
BRA,FB100/10,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7461,KI054,KAR002,KARNA INTERNATIONAL,WB,,,200,200,0,0,984.00,984.00,0.00,0.00,
BRA,FB100/10,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7475,KI059,KAR002,KARNA INTERNATIONAL,WB,,,1000,1000,0,0,5010.00,5010.00,0.00,0.00,
BRA,FB100/10BZP3MM,SQUARE PLATE M10 BZP X 100,,FB100/10BZP3MM,6174,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,549,549,0,0,1767.78,1767.78,0.00,0.00,
BRA,FB100/10BZP3MM,SQUARE PLATE M10 BZP X 100,,FB100/10BZP3MM,6428,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,3608,3608,0,0,11617.76,11617.76,0.00,0.00,
BRA,FB100/10BZP3MM,SQUARE PLATE M10 BZP X 100,(100),FB100/10BZP3MM,7461,KI054,KAR002,KARNA INTERNATIONAL,WB,,,588,588,0,0,1981.56,1981.56,0.00,0.00,
BRA,FB100/10FT,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7277,KI037,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,288,288,0,0,1457.28,1457.28,0.00,0.00,
BRA,FB100/10FT,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7277,KI037,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,600,600,0,0,3036.00,3036.00,0.00,0.00,
BRA,FB100/10FT,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7436,KI038,KAR002,KARNA INTERNATIONAL,WA,08/08/2025,,288,288,0,0,1442.88,1442.88,0.00,0.00,
BRA,FB100/10FT,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,312,312,0,0,1603.68,1603.68,0.00,0.00,
BRA,FB100/10FT,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,120,120,0,0,591.60,591.60,0.00,0.00,
BRA,FB100/10FT,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7461,KI054,KAR002,KARNA INTERNATIONAL,WB,,,576,576,0,0,2833.92,2833.92,0.00,0.00,
BRA,FB100/10FT,40x40 M10 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/10,7462,KI051,KAR002,KARNA INTERNATIONAL,WB,,,864,864,0,0,4268.16,4268.16,0.00,0.00,
BRA,FB100/10ZINC,M10 SQUARE PLATE ZINC X100,,FB100/10ZINC,6673,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,5452,5452,0,0,22625.80,22625.80,0.00,0.00,
BRA,FB100/10ZINC,M10 SQUARE PLATE ZINC X100,,FB100/10ZINC,6673,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,1768,1768,0,0,7637.76,7637.76,0.00,0.00,
BRA,FB100/10ZINC,M10 SQUARE PLATE ZINC X100,,FB100/10ZINC,6801,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,3000,3000,0,0,12960.00,12960.00,0.00,0.00,
BRA,FB100/10ZINC,M10 SQUARE PLATE ZINC X100,,FB100/10ZINC,6801,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,24,24,0,0,99.60,99.60,0.00,0.00,
BRA,FB100/10ZINC,M10 SQUARE PLATE ZINC X100,(100),FB100/10ZINC,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,4000,4000,0,0,17080.00,17080.00,0.00,0.00,
BRA,FB100/10ZINCFT,M10 SQUARE PLATE ZINC X100,(100),FB100/10ZINC,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,200,200,0,0,944.00,944.00,0.00,0.00,
BRA,FB100/10ZINCFT,M10 SQUARE PLATE ZINC X100,(100),FB100/10ZINC,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,376,376,0,0,1703.28,1703.28,0.00,0.00,
BRA,FB100/12,40x40 M12 HOLE SQ PLATE WASHER,WASHER(100)HDG,FB100/12,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,200,200,0,0,940.80,940.80,0.00,0.00,
BRA,FB100/12ZINC,M12 SQUARE PLATE WASHER ZINC X,X100,,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,675,675,0,0,2882.25,2882.25,0.00,0.00,
BRA,FB100/12ZINC,M12 SQUARE PLATE WASHER ZINC X,X100,,7383,KI045,KAR002,KARNA INTERNATIONAL,WB,25/08/2025,,125,125,0,0,561.25,561.25,0.00,0.00,
BRA,FB100/12ZINC,M12 SQUARE PLATE WASHER ZINC X,X100,,7384,KI041,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,200,200,0,0,912.00,912.00,0.00,0.00,
BRA,FB100/12ZINC,M12 SQUARE PLATE WASHER ZINC X,X100,,7436,KI038,KAR002,KARNA INTERNATIONAL,WA,08/08/2025,,200,200,0,0,874.00,874.00,0.00,0.00,
BRA,FB100/8,40x40 M8 HOLE SQ PLATE WASHER(,WASHER(100)HDG,FB100/8,6174,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,125,125,0,0,612.50,612.50,0.00,0.00,
BRA,FB100/8,40x40 M8 HOLE SQ PLATE WASHER(,WASHER(100)HDG,FB100/8,6801,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,400,400,0,0,1881.60,1881.60,0.00,0.00,
BRA,FB100/8,40x40 M8 HOLE SQ PLATE WASHER(,WASHER(100)HDG,FB100/8,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,1601,1601,0,0,7531.10,7531.10,0.00,0.00,
BRA,FB100/8,40x40 M8 HOLE SQ PLATE WASHER(,WASHER(100)HDG,FB100/8,7376,LAUREN,KAR002,KARNA INTERNATIONAL,GL,,,300,300,0,0,1411.20,1411.20,0.00,0.00,
BRA,FB100/8,40x40 M8 HOLE SQ PLATE WASHER(,WASHER(100)HDG,FB100/8,7475,KI059,KAR002,KARNA INTERNATIONAL,WB,,,300,300,0,0,1500.00,1500.00,0.00,0.00,
BRA,FB100/8BZP3MM,SQUARE PLATE M8 BZP 3MMX100,(100),FB100/8BZP3MM,7451,KI049,KAR002,KARNA INTERNATIONAL,WB,28/08/2025,,163,163,0,0,492.26,492.26,0.00,0.00,
BRA,FB100/8ZINC,SQUARE PLATE WASHER M8 ZINC X1,X100,FB100/8ZINC,5956,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,119,119,0,0,535.50,535.50,0.00,0.00,
BRA,FB100/8ZINC,SQUARE PLATE WASHER M8 ZINC X1,X100,FB100/8ZINC,6801,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,760,760,0,0,3283.20,3283.20,0.00,0.00,
BRA,FB100/8ZINC,SQUARE PLATE WASHER M8 ZINC X1,X100,FB100/8ZINC,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,3000,3000,0,0,12810.00,12810.00,0.00,0.00,
BRA,FB100/8ZINC,SQUARE PLATE WASHER M8 ZINC X1,X100,FB100/8ZINC,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,1000,1000,0,0,4270.00,4270.00,0.00,0.00,
BRA,FB100/8ZINC,SQUARE PLATE WASHER M8 ZINC X1,X100,FB100/8ZINC,7376,LAUREN,KAR002,KARNA INTERNATIONAL,GL,,,300,300,0,0,1281.00,1281.00,0.00,0.00,
BRA,FB100/8ZINC,SQUARE PLATE WASHER M8 ZINC X1,X100,FB100/8ZINC,7383,KI045,KAR002,KARNA INTERNATIONAL,WB,25/08/2025,,400,400,0,0,1892.00,1892.00,0.00,0.00,
BRA,FB100/8ZINC,SQUARE PLATE WASHER M8 ZINC X1,X100,FB100/8ZINC,7384,KI041,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,200,200,0,0,960.00,960.00,0.00,0.00,
BRA,FB100/8ZINC,SQUARE PLATE WASHER M8 ZINC X1,X100,FB100/8ZINC,7436,KI038,KAR002,KARNA INTERNATIONAL,WA,08/08/2025,,200,200,0,0,920.00,920.00,0.00,0.00,
BRA,FB100/8ZINC,SQUARE PLATE WASHER M8 ZINC X1,X100,FB100/8ZINC,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,240,240,0,0,1132.80,1132.80,0.00,0.00,
BRA,FB100/8ZINC,SQUARE PLATE WASHER M8 ZINC X1,X100,FB100/8ZINC,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,160,160,0,0,724.80,724.80,0.00,0.00,
BRA,FB100/8ZINC,SQUARE PLATE WASHER M8 ZINC X1,X100,FB100/8ZINC,7462,KI051,KAR002,KARNA INTERNATIONAL,WB,,,200,200,0,0,946.00,946.00,0.00,0.00,
BRA,FB100/8ZINC,SQUARE PLATE WASHER M8 ZINC X1,X100,FB100/8ZINC,7475,KI059,KAR002,KARNA INTERNATIONAL,WB,,,300,300,0,0,1362.00,1362.00,0.00,0.00,
BRA,FB101,FB101  TWO HOLE FLAT PLATE HDG,,FB101,6801,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,700,700,0,0,94.71,94.71,0.00,0.00,
BRA,FB101,FB101  TWO HOLE FLAT PLATE HDG,EA,FB101,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,11800,11800,0,0,1581.20,1581.20,0.00,0.00,
BRA,FB101,FB101  TWO HOLE FLAT PLATE HDG,EA,FB101,7277,KI037,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,3200,3200,0,0,461.12,461.12,0.00,0.00,
BRA,FB102,FB102  THREE HOLE FLAT PLATE H,EA HDG,FB102,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,600,600,0,0,113.16,113.16,0.00,0.00,
BRA,FB102,FB102  THREE HOLE FLAT PLATE H,EA HDG,FB102,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,600,600,0,0,119.82,119.82,0.00,0.00,
BRA,FB103,FB103  FOUR HOLE FLAT PLATE HD,HDG,FB103,6673,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,5750,5750,0,0,1425.43,1425.43,0.00,0.00,
BRA,FB103,FB103  FOUR HOLE FLAT PLATE HD,HDG,FB103,6801,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,1000,1000,0,0,247.90,247.90,0.00,0.00,
BRA,FB103,FB103  FOUR HOLE FLAT PLATE HD,EA HDG,FB103,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,1500,1500,0,0,368.10,368.10,0.00,0.00,
BRA,FB103,FB103  FOUR HOLE FLAT PLATE HD,EA HDG,FB103,7376,LAUREN,KAR002,KARNA INTERNATIONAL,GL,,,1000,1000,0,0,245.40,245.40,0.00,0.00,
BRA,FB103,FB103  FOUR HOLE FLAT PLATE HD,EA HDG,FB103,7383,KI045,KAR002,KARNA INTERNATIONAL,WB,25/08/2025,,4000,4000,0,0,1042.80,1042.80,0.00,0.00,
BRA,FB103,FB103  FOUR HOLE FLAT PLATE HD,EA HDG,FB103,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,500,500,0,0,130.00,130.00,0.00,0.00,
BRA,FB103,FB103  FOUR HOLE FLAT PLATE HD,EA HDG,FB103,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,1500,1500,0,0,386.10,386.10,0.00,0.00,
BRA,FB103,FB103  FOUR HOLE FLAT PLATE HD,EA HDG,FB103,7462,KI051,KAR002,KARNA INTERNATIONAL,WB,,,4000,4000,0,0,1041.60,1041.60,0.00,0.00,
BRA,FB103,FB103  FOUR HOLE FLAT PLATE HD,EA HDG,FB103,7475,KI059,KAR002,KARNA INTERNATIONAL,WB,,,600,600,0,0,157.02,157.02,0.00,0.00,
BRA,FB104,FB104 FIVE HOLE FLAT PLATE,,FB104,6673,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,4000,4000,0,0,1259.20,1259.20,0.00,0.00,
BRA,FB105,FB105  SMALL BASE PLATE HDG EA,,FB105,6174,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,300,300,0,0,183.60,183.60,0.00,0.00,
BRA,FB105,FB105  SMALL BASE PLATE HDG EA,EA,FB105,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,500,500,0,0,290.80,290.80,0.00,0.00,
BRA,FB106,FB106  41MM CHANNEL BASE PLATE,EA HDG,FB106,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,2000,2000,0,0,1224.00,1224.00,0.00,0.00,
BRA,FB106,FB106  41MM CHANNEL BASE PLATE,EA HDG,FB106,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,1650,1650,0,0,1009.80,1009.80,0.00,0.00,
BRA,FB106,FB106  41MM CHANNEL BASE PLATE,EA HDG,FB106,7277,KI037,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,1000,1000,0,0,692.30,692.30,0.00,0.00,
BRA,FB106,FB106  41MM CHANNEL BASE PLATE,EA HDG,FB106,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,650,650,0,0,438.88,438.88,0.00,0.00,
BRA,FB106,FB106  41MM CHANNEL BASE PLATE,EA HDG,FB106,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,850,850,0,0,545.36,545.36,0.00,0.00,
BRA,FB107,41X82 FOOT PLATE HDG AI036,EA,FB107,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,200,200,0,0,230.94,230.94,0.00,0.00,
BRA,FB107,41X82 FOOT PLATE HDG AI036,EA,FB107,7376,LAUREN,KAR002,KARNA INTERNATIONAL,GL,,,200,200,0,0,230.94,230.94,0.00,0.00,
BRA,FB109/41,FB109/41  GUSSET BASE PLATTE H,HDG EA,FB109/41,6174,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,150,150,0,0,266.55,266.55,0.00,0.00,
BRA,FB109/41,FB109/41  GUSSET BASE PLATTE H,HDG EA,FB109/41,6428,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,760,760,0,0,1350.52,1350.52,0.00,0.00,
BRA,FB109/41,FB109/41  GUSSET BASE PLATE H,HDG EA,FB109/41,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,7762,7762,0,0,13106.91,13106.91,0.00,0.00,
BRA,FB109/41,FB109/41  GUSSET BASE PLATE H,HDG EA,FB109/41,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,4000,4000,0,0,6755.20,6755.20,0.00,0.00,
BRA,FB109/41,FB109/41  GUSSET BASE PLATE H,HDG EA,FB109/41,7277,KI037,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,1008,1008,0,0,1830.02,1830.02,0.00,0.00,
BRA,FB109/41,FB109/41  GUSSET BASE PLATE H,HDG EA,FB109/41,7376,LAUREN,KAR002,KARNA INTERNATIONAL,GL,,,1500,1500,0,0,2533.20,2533.20,0.00,0.00,
BRA,FB109/41,FB109/41  GUSSET BASE PLATE H,HDG EA,FB109/41,7384,KI041,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,504,504,0,0,908.26,908.26,0.00,0.00,
BRA,FB109/41,FB109/41  GUSSET BASE PLATE H,HDG EA,FB109/41,7461,KI054,KAR002,KARNA INTERNATIONAL,WB,,,1008,1008,0,0,1780.93,1780.93,0.00,0.00,
BRA,FB109/41,FB109/41  GUSSET BASE PLATE H,HDG EA,FB109/41,7475,KI059,KAR002,KARNA INTERNATIONAL,WB,,,504,504,0,0,905.79,905.79,0.00,0.00,
BRA,FB109/82,FB109/82 41X82 GUSSET FOOT PLA,PLATE,FB109/82,5956,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,144,144,0,0,313.49,313.49,0.00,0.00,
BRA,FB109/82,FB109/82 41X82 GUSSET FOOT PLA,EA PLATE,FB109/82,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,1500,1500,0,0,3103.50,3103.50,0.00,0.00,
BRA,FB109/82,FB109/82 41X82 GUSSET FOOT PLA,EA PLATE,FB109/82,7376,LAUREN,KAR002,KARNA INTERNATIONAL,GL,,,300,300,0,0,620.70,620.70,0.00,0.00,
BRA,FB111,FB111ONE HOLE ONE HOLE ANGLE,EA HDG,FB111,7158,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,41600,41600,0,0,4987.84,4987.84,0.00,0.00,
BRA,FB111,FB111ONE HOLE ONE HOLE ANGLE,EA HDG,FB111,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,15000,15000,0,0,1798.50,1798.50,0.00,0.00,
BRA,FB111,FB111ONE HOLE ONE HOLE ANGLE,EA HDG,FB111,7376,LAUREN,KAR002,KARNA INTERNATIONAL,GL,,,7500,7500,0,0,899.25,899.25,0.00,0.00,
BRA,FB111,FB111ONE HOLE ONE HOLE ANGLE,EA HDG,FB111,7436,KI038,KAR002,KARNA INTERNATIONAL,WA,08/08/2025,,7500,7500,0,0,919.50,919.50,0.00,0.00,
BRA,FB111,FB111ONE HOLE ONE HOLE ANGLE,EA HDG,FB111,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,7500,7500,0,0,942.75,942.75,0.00,0.00,
BRA,FB111,FB111ONE HOLE ONE HOLE ANGLE,EA HDG,FB111,7451,KI049,KAR002,KARNA INTERNATIONAL,WB,28/08/2025,,1800,1800,0,0,225.36,225.36,0.00,0.00,
BRA,FB111/A,FB111/A ONE HOLE ONE HOLE ANGL,ANGLE UNEQUAL,FB111/A,5956,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,15000,15000,0,0,1890.00,1890.00,0.00,0.00,
BRA,FB111/A,FB111/A ONE HOLE ONE HOLE ANGL,EA UNEQUAL,FB111/A,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,1500,1500,0,0,181.50,181.50,0.00,0.00,
BRA,FB111/A,FB111/A ONE HOLE ONE HOLE ANGL,EA UNEQUAL,FB111/A,7441,KI047,KAR002,KARNA INTERNATIONAL,WA,26/08/2025,,1500,1500,0,0,190.35,190.35,0.00,0.00,
BRA,FB111FT,FB111ONE HOLE ONE HOLE ANGLE,EA HDG,FB111,7451,KI049,KAR002,KARNA INTERNATIONAL,WB,28/08/2025,,11600,11600,0,0,1452.32,1452.32,0.00,0.00,
BRA,FB111FT,FB111ONE HOLE ONE HOLE ANGLE,EA HDG,FB111,7462,KI051,KAR002,KARNA INTERNATIONAL,WB,,,7500,7500,0,0,944.25,944.25,0.00,0.00,
BRA,FB111FT,FB111ONE HOLE ONE HOLE ANGLE,EA HDG,FB111,7475,KI059,KAR002,KARNA INTERNATIONAL,WB,,,7500,7500,0,0,957.00,957.00,0.00,0.00,
BRA,FB112,FB112  ONE HOLE TWO HOLE ANGLE,EA,FB112,7376,LAUREN,KAR002,KARNA INTERNATIONAL,GL,,,3000,3000,0,0,645.60,645.60,0.00,0.00,
BRA,FB112,FB112  ONE HOLE TWO HOLE ANGLE,EA,FB112,7475,KI059,KAR002,KARNA INTERNATIONAL,WB,,,3000,3000,0,0,687.00,687.00,0.00,0.00,
BRA,FB113,FB113 ONE HOLE TWO HOLE ANGLE,BRACKET EA,FB113,6673,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,6000,6000,0,0,1238.40,1238.40,0.00,0.00,
BRA,FB113/A,FB113/A ONE HOLE THREE HOLE AN,ANGLE BKT EA,FB113/A,6801,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,300,300,0,0,78.18,78.18,0.00,0.00,
BRA,FB114,FB114 TWO HOLE TWO HOLE ANGLE,BKT HDG,FB114,6673,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WB,,,24525,24525,0,0,6143.51,6143.51,0.00,0.00,
BRA,FB114,FB114 TWO HOLE TWO HOLE ANGLE,EA HDG,FB114,7274,STOCK ORDER,KAR002,KARNA INTERNATIONAL,WA,,,15350,15350,0,0,3806.80,3806.80,0.00,0.00,
BRA,FB114,FB114 TWO HOLE TWO HOLE ANGLE,EA HDG,FB114,7277,KI037,KAR002,KARNA INTERNATIONAL,WB,08/08/2025,,5225,5225,0,0,1407.09,1407.09,0.00,0.00,
